Sample	Tercile	Covered	Uncovered
elp6d_mrna_YPD1	10	5425	482
elp6d_mrna_YPD1	20	5532	375
elp6d_mrna_YPD1	30	5605	302
elp6d_mrna_YPD1	40	5615	292
elp6d_mrna_YPD1	50	5628	279
elp6d_mrna_YPD1	60	5662	245
elp6d_mrna_YPD1	70	5669	238
elp6d_mrna_YPD1	80	5682	225
elp6d_mrna_YPD1	90	5684	223
elp6d_mrna_YPD1	0	5907	0
elp6d_mrna_YPD2	10	5568	339
elp6d_mrna_YPD2	20	5639	268
elp6d_mrna_YPD2	30	5674	233
elp6d_mrna_YPD2	40	5686	221
elp6d_mrna_YPD2	50	5708	199
elp6d_mrna_YPD2	60	5719	188
elp6d_mrna_YPD2	70	5731	176
elp6d_mrna_YPD2	80	5734	173
elp6d_mrna_YPD2	90	5742	165
elp6d_mrna_YPD2	0	5907	0
elp6d_mrna_YPD3	10	5574	333
elp6d_mrna_YPD3	20	5633	274
elp6d_mrna_YPD3	30	5668	239
elp6d_mrna_YPD3	40	5712	195
elp6d_mrna_YPD3	50	5714	193
elp6d_mrna_YPD3	60	5728	179
elp6d_mrna_YPD3	70	5750	157
elp6d_mrna_YPD3	80	5744	163
elp6d_mrna_YPD3	90	5751	156
elp6d_mrna_YPD3	0	5907	0
ncs2d_elp6d_mrna_YPD1	10	5534	373
ncs2d_elp6d_mrna_YPD1	20	5626	281
ncs2d_elp6d_mrna_YPD1	30	5653	254
ncs2d_elp6d_mrna_YPD1	40	5701	206
ncs2d_elp6d_mrna_YPD1	50	5718	189
ncs2d_elp6d_mrna_YPD1	60	5734	173
ncs2d_elp6d_mrna_YPD1	70	5731	176
ncs2d_elp6d_mrna_YPD1	80	5748	159
ncs2d_elp6d_mrna_YPD1	90	5753	154
ncs2d_elp6d_mrna_YPD1	0	5907	0
ncs2d_elp6d_mrna_YPD2	10	5523	384
ncs2d_elp6d_mrna_YPD2	20	5613	294
ncs2d_elp6d_mrna_YPD2	30	5647	260
ncs2d_elp6d_mrna_YPD2	40	5680	227
ncs2d_elp6d_mrna_YPD2	50	5707	200
ncs2d_elp6d_mrna_YPD2	60	5721	186
ncs2d_elp6d_mrna_YPD2	70	5733	174
ncs2d_elp6d_mrna_YPD2	80	5742	165
ncs2d_elp6d_mrna_YPD2	90	5751	156
ncs2d_elp6d_mrna_YPD2	0	5907	0
ncs2d_elp6d_mrna_YPD3	10	5605	302
ncs2d_elp6d_mrna_YPD3	20	5681	226
ncs2d_elp6d_mrna_YPD3	30	5712	195
ncs2d_elp6d_mrna_YPD3	40	5732	175
ncs2d_elp6d_mrna_YPD3	50	5755	152
ncs2d_elp6d_mrna_YPD3	60	5757	150
ncs2d_elp6d_mrna_YPD3	70	5767	140
ncs2d_elp6d_mrna_YPD3	80	5774	133
ncs2d_elp6d_mrna_YPD3	90	5781	126
ncs2d_elp6d_mrna_YPD3	0	5907	0
ncs2d_mrna_YPD1	10	5475	432
ncs2d_mrna_YPD1	20	5556	351
ncs2d_mrna_YPD1	30	5618	289
ncs2d_mrna_YPD1	40	5635	272
ncs2d_mrna_YPD1	50	5658	249
ncs2d_mrna_YPD1	60	5677	230
ncs2d_mrna_YPD1	70	5696	211
ncs2d_mrna_YPD1	80	5720	187
ncs2d_mrna_YPD1	90	5726	181
ncs2d_mrna_YPD1	0	5907	0
ncs2d_mrna_YPD2	10	5459	448
ncs2d_mrna_YPD2	20	5551	356
ncs2d_mrna_YPD2	30	5619	288
ncs2d_mrna_YPD2	40	5647	260
ncs2d_mrna_YPD2	50	5661	246
ncs2d_mrna_YPD2	60	5673	234
ncs2d_mrna_YPD2	70	5690	217
ncs2d_mrna_YPD2	80	5698	209
ncs2d_mrna_YPD2	90	5711	196
ncs2d_mrna_YPD2	0	5907	0
ncs2d_mrna_YPD3	10	5544	363
ncs2d_mrna_YPD3	20	5617	290
ncs2d_mrna_YPD3	30	5661	246
ncs2d_mrna_YPD3	40	5665	242
ncs2d_mrna_YPD3	50	5692	215
ncs2d_mrna_YPD3	60	5700	207
ncs2d_mrna_YPD3	70	5722	185
ncs2d_mrna_YPD3	80	5718	189
ncs2d_mrna_YPD3	90	5723	184
ncs2d_mrna_YPD3	0	5907	0
wt_mrna_YPD1	10	5442	465
wt_mrna_YPD1	20	5532	375
wt_mrna_YPD1	30	5577	330
wt_mrna_YPD1	40	5623	284
wt_mrna_YPD1	50	5651	256
wt_mrna_YPD1	60	5661	246
wt_mrna_YPD1	70	5669	238
wt_mrna_YPD1	80	5679	228
wt_mrna_YPD1	90	5688	219
wt_mrna_YPD1	0	5907	0
WT_mrna_YPD2	10	5414	493
WT_mrna_YPD2	20	5539	368
WT_mrna_YPD2	30	5578	329
WT_mrna_YPD2	40	5610	297
WT_mrna_YPD2	50	5639	268
WT_mrna_YPD2	60	5660	247
WT_mrna_YPD2	70	5656	251
WT_mrna_YPD2	80	5683	224
WT_mrna_YPD2	90	5685	222
WT_mrna_YPD2	0	5907	0
WT_mrna_YPD3	10	5499	408
WT_mrna_YPD3	20	5580	327
WT_mrna_YPD3	30	5629	278
WT_mrna_YPD3	40	5664	243
WT_mrna_YPD3	50	5673	234
WT_mrna_YPD3	60	5693	214
WT_mrna_YPD3	70	5698	209
WT_mrna_YPD3	80	5708	199
WT_mrna_YPD3	90	5716	191
WT_mrna_YPD3	0	5907	0
