	0	1	2	3	4	5	6	7	8	mean
YAR010C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR316W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR316W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR296W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL049C-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0080-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR296C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR298C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR302C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL067W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR522C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR524W-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR542W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR545W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL076C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER014C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR035W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR155C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR156C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157W-D-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR158C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR160C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPR159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR086W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL210W-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0120-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0115-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0110-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR053C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL067C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL066W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL064C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR173C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER085C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIL057C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR358C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL052C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIL105W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIL102C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL035C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL021W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGL192W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR351C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPR137C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL183C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR053C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL192C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR247W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML039W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR154W-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR154C-G-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL019W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR008C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR273C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL010W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL002W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL002W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR011W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR118C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL165C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL022C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL007C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR072W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR221W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL020W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML040W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR161C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML066C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR109W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL096C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR307C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR268C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL069W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL048W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR185C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR212W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL070W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR020C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER138C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER137C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR151W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML054C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR204C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR467W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER160C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL164W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR261C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFR057W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR272W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL006W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL121C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR365W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR341W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR018C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR213W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR213W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR218W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR219W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL068C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL067W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCR050C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR214C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNR075C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNR077C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL166W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR105W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL064C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR041W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCR108C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL247W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL257W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL257W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR194W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR013W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL106C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR098C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL114W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL062W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL061W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL058W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL159W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR142W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL028W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL131W-t26_1	0	0	0	0	0	0	0	0	0	0.0
