	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9557622310860219	0.9139158428512839	0.9191472109022135	0.9602873653601149	0.9009004344687875	0.9009799891381421	0.8943975073037818	0.9136578885899003	0.9139976555160462	0.8831009637520424	0.9028676776271394
WT_mrna_YPD2	0.9557622310860219	1.0	0.8654814083456102	0.8726894043965144	0.9273778442864419	0.85026656799594	0.8485961766597028	0.8421445203210517	0.8515112603113036	0.8684317751887185	0.8317435579331175	0.8512885272210784
WT_mrna_YPD3	0.9139158428512839	0.8654814083456102	1.0	0.9512802709712296	0.950198918984771	0.963357974982571	0.9661903808553328	0.958920967864805	0.9497791095548215	0.9459458316546699	0.9275730769510864	0.9671934534674412
ncs2d_mrna_YPD1	0.9191472109022135	0.8726894043965144	0.9512802709712296	1.0	0.950437380611494	0.9445545297169884	0.9548386082929052	0.9559097091502162	0.9570921345892222	0.9432560440645409	0.9504702298522812	0.9576552183013151
ncs2d_mrna_YPD2	0.9602873653601149	0.9273778442864419	0.950198918984771	0.950437380611494	1.0	0.9384458127106997	0.9397930872922967	0.9333639373226186	0.940238484855676	0.947473484743954	0.917993767928998	0.9449017419818575
ncs2d_mrna_YPD3	0.9009004344687875	0.85026656799594	0.963357974982571	0.9445545297169884	0.9384458127106997	1.0	0.9578923278145055	0.9545938682421854	0.9512866190662936	0.9302308211503897	0.9216652712318275	0.9592514276446713
elp6d_mrna_YPD1	0.9009799891381421	0.8485961766597028	0.9661903808553328	0.9548386082929052	0.9397930872922967	0.9578923278145055	1.0	0.9633708722460935	0.9598573620068704	0.9431008342223138	0.9388371501150441	0.9674357590518472
elp6d_mrna_YPD2	0.8943975073037818	0.8421445203210517	0.958920967864805	0.9559097091502162	0.9333639373226186	0.9545938682421854	0.9633708722460935	1.0	0.9590472543016555	0.9369982369491558	0.9406765405858465	0.9641254617325239
elp6d_mrna_YPD3	0.9136578885899003	0.8515112603113036	0.9497791095548215	0.9570921345892222	0.940238484855676	0.9512866190662936	0.9598573620068704	0.9590472543016555	1.0	0.9431006099257235	0.9506328456797702	0.9623342339354994
ncs2d_elp6d_mrna_YPD1	0.9139976555160462	0.8684317751887185	0.9459458316546699	0.9432560440645409	0.947473484743954	0.9302308211503897	0.9431008342223138	0.9369982369491558	0.9431006099257235	1.0	0.9510663324867055	0.9539060390587861
ncs2d_elp6d_mrna_YPD2	0.8831009637520424	0.8317435579331175	0.9275730769510864	0.9504702298522812	0.917993767928998	0.9216652712318275	0.9388371501150441	0.9406765405858465	0.9506328456797702	0.9510663324867055	1.0	0.9520973977286846
ncs2d_elp6d_mrna_YPD3	0.9028676776271394	0.8512885272210784	0.9671934534674412	0.9576552183013151	0.9449017419818575	0.9592514276446713	0.9674357590518472	0.9641254617325239	0.9623342339354994	0.9539060390587861	0.9520973977286846	1.0
