Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
R_GR_in_01d_1	Frame	27	12	575413	10	389031	11	554113	13	1518557	37.89	first
R_GR_in_01d_1	Frame	28	12	981109	10	879776	11	851994	13	2712879	36.16	first
R_GR_in_01d_1	Frame	29	11	2300922	12	1410771	13	1562794	12	5274487	43.62	first
R_GR_in_01d_1	Frame	30	11	4105342	12	3676551	13	1547345	12	9329238	44.01	first
R_GR_in_01d_1	Frame	31	12	5827898	13	3078809	14	2125018	13	11031725	52.83	first
R_GR_in_01d_1	Frame	32	13	3586361	14	1494844	12	1791640	14	6872845	52.18	first
R_GR_in_01d_1	Frame	33	14	831457	15	272324	13	576131	15	1679912	49.49	first
R_GR_in_01d_1	Frame	34	14	98713	15	67011	13	40119	15	205843	47.96	first
R_GR_in_01d_2	Frame	27	12	706927	10	477217	11	618103	13	1802247	39.22	first
R_GR_in_01d_2	Frame	28	11	1249400	12	1133371	10	1159756	12	3542527	35.27	first
R_GR_in_01d_2	Frame	29	11	3272033	12	2107114	13	1664123	12	7043270	46.46	first
R_GR_in_01d_2	Frame	30	12	4882410	13	1917229	11	3660846	13	10460485	46.67	first
R_GR_in_01d_2	Frame	31	12	4170132	13	3434541	14	1453892	13	9058565	46.04	first
R_GR_in_01d_2	Frame	32	13	1921464	14	1114566	12	699935	14	3735965	51.43	first
R_GR_in_01d_2	Frame	33	14	330514	15	104395	13	158303	15	593212	55.72	first
R_GR_in_01d_2	Frame	34	14	29581	15	22851	13	12060	15	64492	45.87	first
R_GR_in_01d_3	Frame	27	12	737471	10	648779	11	730919	13	2117169	34.83	first
R_GR_in_01d_3	Frame	28	11	1937616	12	1342940	10	1270792	12	4551348	42.57	first
R_GR_in_01d_3	Frame	29	11	3278386	12	3177644	13	1542023	12	7998053	40.99	first
R_GR_in_01d_3	Frame	30	12	4546982	13	2505533	11	2172680	13	9225195	49.29	first
R_GR_in_01d_3	Frame	31	13	2732829	14	1017159	12	1896864	14	5646852	48.4	first
R_GR_in_01d_3	Frame	32	13	643965	14	547732	12	194219	14	1385916	46.46	first
R_GR_in_01d_3	Frame	33	14	90304	15	33676	13	34759	15	158739	56.89	first
R_GR_in_01d_3	Frame	34	14	6136	15	5378	13	3439	15	14953	41.04	first
R_GR_un_01d_1	Frame	27	11	424468	12	423147	10	257696	12	1105311	38.4	first
R_GR_un_01d_1	Frame	28	12	750610	10	672586	11	663436	13	2086632	35.97	first
R_GR_un_01d_1	Frame	29	11	1890904	12	1082729	13	1211610	12	4185243	45.18	first
R_GR_un_01d_1	Frame	30	11	3316512	12	2899759	13	1155832	12	7372103	44.99	first
R_GR_un_01d_1	Frame	31	12	4241023	13	2217965	14	1539492	13	7998480	53.02	first
R_GR_un_01d_1	Frame	32	13	2407212	14	1025447	12	1155412	14	4588071	52.47	first
R_GR_un_01d_1	Frame	33	14	562180	15	184527	13	376839	15	1123546	50.04	first
R_GR_un_01d_1	Frame	34	14	65835	15	47115	13	24289	15	137239	47.97	first
R_GR_un_01d_2	Frame	27	12	415531	10	289552	11	370952	13	1076035	38.62	first
R_GR_un_01d_2	Frame	28	11	821566	12	731280	10	749359	12	2302205	35.69	first
R_GR_un_01d_2	Frame	29	11	2160323	12	1412641	13	1106373	12	4679337	46.17	first
R_GR_un_01d_2	Frame	30	12	3405899	13	1352496	11	2607109	13	7365504	46.24	first
R_GR_un_01d_2	Frame	31	12	3135661	13	2523954	14	1084613	13	6744228	46.49	first
R_GR_un_01d_2	Frame	32	13	1559554	14	864710	12	558961	14	2983225	52.28	first
R_GR_un_01d_2	Frame	33	14	273315	15	87432	13	136816	15	497563	54.93	first
R_GR_un_01d_2	Frame	34	14	25886	15	19734	13	10614	15	56234	46.03	first
R_GR_un_01d_3	Frame	27	12	646695	10	417694	11	624213	13	1688602	38.3	first
R_GR_un_01d_3	Frame	28	12	1121404	10	1058920	11	1044826	13	3225150	34.77	first
R_GR_un_01d_3	Frame	29	11	2951960	12	1682820	13	1769599	12	6404379	46.09	first
R_GR_un_01d_3	Frame	30	11	4466767	12	4358593	13	1658099	12	10483459	42.61	first
R_GR_un_01d_3	Frame	31	12	5022455	13	3003727	14	1625013	13	9651195	52.04	first
R_GR_un_01d_3	Frame	32	13	2073557	14	931022	12	920173	14	3924752	52.83	first
R_GR_un_01d_3	Frame	33	14	321321	15	102690	13	184829	15	608840	52.78	first
R_GR_un_01d_3	Frame	34	14	35047	15	23020	13	13120	15	71187	49.23	first
R_GR_in_02d_1	Frame	27	11	984090	12	471414	10	824045	12	2279549	43.17	first
R_GR_in_02d_1	Frame	28	11	2279266	12	1355485	10	611503	12	4246254	53.68	first
R_GR_in_02d_1	Frame	29	12	2935504	13	839217	11	1322725	13	5097446	57.59	first
R_GR_in_02d_1	Frame	30	12	1546223	13	1504595	11	522192	13	3573010	43.28	first
R_GR_in_02d_1	Frame	31	13	708560	14	310145	12	368038	14	1386743	51.1	first
R_GR_in_02d_1	Frame	32	13	125423	14	101504	12	37555	14	264482	47.42	first
R_GR_in_02d_1	Frame	33	14	10256	15	5453	13	6324	15	22033	46.55	first
R_GR_in_02d_1	Frame	34	14	811	15	700	13	678	15	2189	37.05	first
R_GR_in_02d_2	Frame	27	11	746687	12	474666	10	718171	12	1939524	38.5	first
R_GR_in_02d_2	Frame	28	11	2183059	12	1145911	10	720319	12	4049289	53.91	first
R_GR_in_02d_2	Frame	29	12	3087140	13	876879	11	1816839	13	5780858	53.4	first
R_GR_in_02d_2	Frame	30	12	2395722	13	1826011	11	875995	13	5097728	47.0	first
R_GR_in_02d_2	Frame	31	13	1262554	14	519586	12	766902	14	2549042	49.53	first
R_GR_in_02d_2	Frame	32	13	308299	14	245056	12	82699	14	636054	48.47	first
R_GR_in_02d_2	Frame	33	14	32506	15	13518	13	15568	15	61592	52.78	first
R_GR_in_02d_2	Frame	34	15	1872	13	1435	14	1773	16	5080	36.85	first
R_GR_in_02d_3	Frame	27	11	2360249	12	810967	10	1511294	12	4682510	50.41	first
R_GR_in_02d_3	Frame	28	11	4340346	12	3356374	10	936958	12	8633678	50.27	first
R_GR_in_02d_3	Frame	29	12	5654595	13	2026834	11	1696571	13	9378000	60.3	first
R_GR_in_02d_3	Frame	30	13	3038514	11	721387	12	1876163	14	5636064	53.91	first
R_GR_in_02d_3	Frame	31	13	847110	14	509947	12	321897	14	1678954	50.45	first
R_GR_in_02d_3	Frame	32	14	92675	12	37767	13	92404	15	222846	41.59	first
R_GR_in_02d_3	Frame	33	14	7419	15	5147	13	5357	15	17923	41.39	first
R_GR_in_02d_3	Frame	34	13	869	14	840	15	851	14	2560	33.95	first
R_GR_un_02d_1	Frame	27	12	443421	10	323904	11	403441	13	1170766	37.87	first
R_GR_un_02d_1	Frame	28	11	946409	12	699231	10	690209	12	2335849	40.52	first
R_GR_un_02d_1	Frame	29	11	1946163	12	1427077	13	877144	12	4250384	45.79	first
R_GR_un_02d_1	Frame	30	12	2786790	13	1090864	11	2005151	13	5882805	47.37	first
R_GR_un_02d_1	Frame	31	12	2655602	13	1854447	14	886319	13	5396368	49.21	first
R_GR_un_02d_1	Frame	32	13	1611968	14	799548	12	659233	14	3070749	52.49	first
R_GR_un_02d_1	Frame	33	14	535642	15	146654	13	306226	15	988522	54.19	first
R_GR_un_02d_1	Frame	34	14	58012	15	38125	13	22524	15	118661	48.89	first
R_GR_un_02d_2	Frame	27	12	433862	10	343736	11	370197	13	1147795	37.8	first
R_GR_un_02d_2	Frame	28	11	1004779	12	719605	10	787655	12	2512039	40.0	first
R_GR_un_02d_2	Frame	29	11	2323361	12	1610078	13	1038161	12	4971600	46.73	first
R_GR_un_02d_2	Frame	30	12	3518225	13	1280602	11	2537825	13	7336652	47.95	first
R_GR_un_02d_2	Frame	31	12	3188486	13	2231325	14	1017220	13	6437031	49.53	first
R_GR_un_02d_2	Frame	32	13	1527763	14	736540	12	560617	14	2824920	54.08	first
R_GR_un_02d_2	Frame	33	14	275818	15	84718	13	169350	15	529886	52.05	first
R_GR_un_02d_2	Frame	34	14	19865	15	17219	13	11205	15	48289	41.14	first
R_GR_un_02d_3	Frame	27	12	427782	10	338621	11	371164	13	1137567	37.6	first
R_GR_un_02d_3	Frame	28	11	879914	12	641515	10	696475	12	2217904	39.67	first
