	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6607403894231877	0.7056526412028223	0.8933193662035359	0.7935753623198046	0.8493426568140202	0.67211020553937	0.8090927175755459	0.5589210642555611	0.744285352062448	0.6565296572790813	0.42867520210478016
wt_ribo_YPD2_norm_cdt	0.6607403894231877	1.0	0.9657755377608613	0.9416565067059854	0.9924697660548079	0.9657723358951318	0.9400369181007611	0.9626691423606255	0.9498412289256101	0.9798670227237682	0.9677158229061444	0.8854047997095876
wt_ribo_YPD3_norm_cdt	0.7056526412028223	0.9657755377608613	1.0	0.9013214291107611	0.9724074204040531	0.9918361347555811	0.8823785442065297	0.9754655624663965	0.9342843091893777	0.9839102240472963	0.9580402088009247	0.8212513073078729
ncs2d_ribo_YPD1_norm_cdt	0.8933193662035359	0.9416565067059854	0.9013214291107611	1.0	0.968067552373785	0.931479951966233	0.9422580720330677	0.8991740492895052	0.8528328461818498	0.9457019024693213	0.9053975087922715	0.8196565534014782
ncs2d_ribo_YPD2_norm_cdt	0.7935753623198046	0.9924697660548079	0.9724074204040531	0.968067552373785	1.0	0.9670146907824504	0.9584275290860959	0.9675291641000915	0.9451642353362918	0.984223158901178	0.965862057419558	0.9237592786382152
ncs2d_ribo_YPD3_norm_cdt	0.8493426568140202	0.9657723358951318	0.9918361347555811	0.931479951966233	0.9670146907824504	1.0	0.9587560168233488	0.9923175549441632	0.9432741090190336	0.9833987153926322	0.9370241298710406	0.8273669591570095
elp6d_ribo_YPD1_norm_cdt	0.67211020553937	0.9400369181007611	0.8823785442065297	0.9422580720330677	0.9584275290860959	0.9587560168233488	1.0	0.9419559297467219	0.9781684141863282	0.9979225043415063	0.9909920356148632	0.9886379190011987
elp6d_ribo_YPD2_norm_cdt	0.8090927175755459	0.9626691423606255	0.9754655624663965	0.8991740492895052	0.9675291641000915	0.9923175549441632	0.9419559297467219	1.0	0.9558314525124785	0.9840535385238766	0.9411586992900981	0.9318530210980241
elp6d_ribo_YPD3_norm_cdt	0.5589210642555611	0.9498412289256101	0.9342843091893777	0.8528328461818498	0.9451642353362918	0.9432741090190336	0.9781684141863282	0.9558314525124785	1.0	0.9726838914600077	0.9771469893193924	0.9288859937019508
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.744285352062448	0.9798670227237682	0.9839102240472963	0.9457019024693213	0.984223158901178	0.9833987153926322	0.9979225043415063	0.9840535385238766	0.9726838914600077	1.0	0.986131720900738	0.9907034769072053
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.6565296572790813	0.9677158229061444	0.9580402088009247	0.9053975087922715	0.965862057419558	0.9370241298710406	0.9909920356148632	0.9411586992900981	0.9771469893193924	0.986131720900738	1.0	0.9961299454567997
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.42867520210478016	0.8854047997095876	0.8212513073078729	0.8196565534014782	0.9237592786382152	0.8273669591570095	0.9886379190011987	0.9318530210980241	0.9288859937019508	0.9907034769072053	0.9961299454567997	1.0
