Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
elp6d_mrna_YPD1	50	7079851	74348	100.0	100.0
elp6d_mrna_YPD2	50	18715416	207555	100.0	100.0
elp6d_mrna_YPD3	50	15882153	173556	100.0	100.0
ncs2d_elp6d_mrna_YPD1	50	9755722	123303	100.0	100.0
ncs2d_elp6d_mrna_YPD2	50	10206905	127667	100.0	100.0
ncs2d_elp6d_mrna_YPD3	50	20150268	232484	100.0	100.0
ncs2d_mrna_YPD1	50	8947052	95990	100.0	100.0
ncs2d_mrna_YPD2	50	8486150	97544	100.0	100.0
ncs2d_mrna_YPD3	50	14885661	152578	100.0	100.0
wt_mrna_YPD1	50	8166449	80539	100.0	100.0
WT_mrna_YPD2	50	8575092	81304	100.0	100.0
WT_mrna_YPD3	50	11635472	109469	100.0	100.0
