	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6264942711508457	0.7701293428494359	0.7626026838168943	0.579604783264994	0.7312683380136875	0.571956308285495	0.6769332098159737	0.6909556097224162	0.29452981900662034	0.4149548092988233	0.36877326921949793
wt_ribo_YPD2_norm_cdt	0.6264942711508457	1.0	0.9446818638028364	0.9284108614929772	0.979413858772679	0.9486968310619625	0.9251751879267425	0.9759468686311348	0.9118379616751148	0.88469596264364	0.9188898203380758	0.8481134636422757
wt_ribo_YPD3_norm_cdt	0.7701293428494359	0.9446818638028364	1.0	0.895052964493339	0.9042428238240336	0.9809496588224553	0.880885359455881	0.9646846927489474	0.90734092573194	0.8545367756771034	0.8794256153177701	0.7216840179645214
ncs2d_ribo_YPD1_norm_cdt	0.7626026838168943	0.9284108614929772	0.895052964493339	1.0	0.9454678330619596	0.9347550293491572	0.8001353674857962	0.9061751704249452	0.8823480744895202	0.6998768338397716	0.778548589065276	0.8615629901959645
ncs2d_ribo_YPD2_norm_cdt	0.579604783264994	0.979413858772679	0.9042428238240336	0.9454678330619596	1.0	0.8683397754503105	0.9188114211986395	0.9143010216414128	0.8633590889101357	0.8869913291681203	0.9365433410594569	0.834182218511089
ncs2d_ribo_YPD3_norm_cdt	0.7312683380136875	0.9486968310619625	0.9809496588224553	0.9347550293491572	0.8683397754503105	1.0	0.9102177276390826	0.9674306893410602	0.8944105185950557	0.7330585480492238	0.6777287150268134	0.8217005725636326
elp6d_ribo_YPD1_norm_cdt	0.571956308285495	0.9251751879267425	0.880885359455881	0.8001353674857962	0.9188114211986395	0.9102177276390826	1.0	0.864770725887087	0.9601214033959694	0.981474998867487	0.9657187089502767	0.909654930438925
elp6d_ribo_YPD2_norm_cdt	0.6769332098159737	0.9759468686311348	0.9646846927489474	0.9061751704249452	0.9143010216414128	0.9674306893410602	0.864770725887087	1.0	0.9512700251595162	0.7158978139338004	0.8350375023505837	0.6731052149797865
elp6d_ribo_YPD3_norm_cdt	0.6909556097224162	0.9118379616751148	0.90734092573194	0.8823480744895202	0.8633590889101357	0.8944105185950557	0.9601214033959694	0.9512700251595162	1.0	0.7946189841411471	0.8412827850616458	0.8354064052328919
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.29452981900662034	0.88469596264364	0.8545367756771034	0.6998768338397716	0.8869913291681203	0.7330585480492238	0.981474998867487	0.7158978139338004	0.7946189841411471	1.0	0.9871370129054149	0.9876039900963582
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.4149548092988233	0.9188898203380758	0.8794256153177701	0.778548589065276	0.9365433410594569	0.6777287150268134	0.9657187089502767	0.8350375023505837	0.8412827850616458	0.9871370129054149	1.0	0.9920109541282112
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.36877326921949793	0.8481134636422757	0.7216840179645214	0.8615629901959645	0.834182218511089	0.8217005725636326	0.909654930438925	0.6731052149797865	0.8354064052328919	0.9876039900963582	0.9920109541282112	1.0
