	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.8677162311127045	0.8142466333210361	0.9110829623102749	0.8446873664484433	0.8075387887521647	0.8161590756798313	0.7970208419734965	0.8132002019953165	0.8107667870074539	0.7962099678515993	0.7903129607388243
wt_ribo_YPD2	0.8677162311127045	1.0	0.9391891276966359	0.9341476508441614	0.9715778100090185	0.919000311337164	0.9263411771212604	0.9166123073125975	0.905397701065017	0.9240422209216776	0.9035519096137842	0.9054649379072005
wt_ribo_YPD3	0.8142466333210361	0.9391891276966359	1.0	0.8949464265341436	0.9319085847266652	0.9758074005465859	0.942564367875857	0.9462059078194219	0.9146191881527577	0.9613826563109257	0.9565770603997883	0.9554481596695827
ncs2d_ribo_YPD1	0.9110829623102749	0.9341476508441614	0.8949464265341436	1.0	0.9548400858620104	0.8927537372955054	0.8933345920770911	0.8748719023793061	0.8461797548992597	0.8850098973672432	0.8710151439880671	0.8748937501515122
ncs2d_ribo_YPD2	0.8446873664484433	0.9715778100090185	0.9319085847266652	0.9548400858620104	1.0	0.9296404278625419	0.9486261549877264	0.9404395230914498	0.9069323269128348	0.9371575173254074	0.9184257008730576	0.9254177153967557
ncs2d_ribo_YPD3	0.8075387887521647	0.919000311337164	0.9758074005465859	0.8927537372955054	0.9296404278625419	1.0	0.9531671168111369	0.945031466010935	0.9309903842844841	0.9742720724975132	0.9729272585427131	0.9691726275661692
elp6d_ribo_YPD1	0.8161590756798313	0.9263411771212604	0.942564367875857	0.8933345920770911	0.9486261549877264	0.9531671168111369	1.0	0.9676140436121882	0.9681644049568743	0.9715359356284952	0.954820570788639	0.9617837752632151
elp6d_ribo_YPD2	0.7970208419734965	0.9166123073125975	0.9462059078194219	0.8748719023793061	0.9404395230914498	0.945031466010935	0.9676140436121882	1.0	0.9453385224041349	0.9646844487330665	0.9508908931199953	0.9558077523494798
elp6d_ribo_YPD3	0.8132002019953165	0.905397701065017	0.9146191881527577	0.8461797548992597	0.9069323269128348	0.9309903842844841	0.9681644049568743	0.9453385224041349	1.0	0.9625656504558743	0.9419359381808441	0.9463595044549821
ncs2d_elp6d_ribo_YPD1	0.8107667870074539	0.9240422209216776	0.9613826563109257	0.8850098973672432	0.9371575173254074	0.9742720724975132	0.9715359356284952	0.9646844487330665	0.9625656504558743	1.0	0.9849767559100975	0.9846371590892625
ncs2d_elp6d_ribo_YPD2	0.7962099678515993	0.9035519096137842	0.9565770603997883	0.8710151439880671	0.9184257008730576	0.9729272585427131	0.954820570788639	0.9508908931199953	0.9419359381808441	0.9849767559100975	1.0	0.9812471293248539
ncs2d_elp6d_ribo_YPD3	0.7903129607388243	0.9054649379072005	0.9554481596695827	0.8748937501515122	0.9254177153967557	0.9691726275661692	0.9617837752632151	0.9558077523494798	0.9463595044549821	0.9846371590892625	0.9812471293248539	1.0
