	wt_ribo_YPD1_absolute_occupancy	wt_ribo_YPD2_absolute_occupancy	wt_ribo_YPD3_absolute_occupancy	ncs2d_ribo_YPD1_absolute_occupancy	ncs2d_ribo_YPD2_absolute_occupancy	ncs2d_ribo_YPD3_absolute_occupancy	elp6d_ribo_YPD1_absolute_occupancy	elp6d_ribo_YPD2_absolute_occupancy	elp6d_ribo_YPD3_absolute_occupancy	ncs2d_elp6d_ribo_YPD1_absolute_occupancy	ncs2d_elp6d_ribo_YPD2_absolute_occupancy	ncs2d_elp6d_ribo_YPD3_absolute_occupancy
wt_ribo_YPD1_absolute_occupancy	1.0	0.8854956741328651	0.8995143664853582	0.9303452992098901	0.8703569865188111	0.8690408922700232	0.8663830882603544	0.8840525647151992	0.8747922270897464	0.837221178776798	0.8590145363560139	0.8360854113530556
wt_ribo_YPD2_absolute_occupancy	0.8854956741328651	1.0	0.9769449683798579	0.9247034740259515	0.9762454164643223	0.9675666446734092	0.9587591992508759	0.9526044588179973	0.9694320590035561	0.9537903358901575	0.9644510032905794	0.9470594561763453
wt_ribo_YPD3_absolute_occupancy	0.8995143664853582	0.9769449683798579	1.0	0.9263531105849886	0.9652269782498221	0.9739025535271872	0.9601776404293476	0.962268596174084	0.9713273784273039	0.9438194571903094	0.9594226741859685	0.924661037048979
ncs2d_ribo_YPD1_absolute_occupancy	0.9303452992098901	0.9247034740259515	0.9263531105849886	1.0	0.9420850170119395	0.9176859727453213	0.9217738138292066	0.9221082390236535	0.913983871948815	0.8897885857905604	0.9035071088384186	0.8659225421532736
ncs2d_ribo_YPD2_absolute_occupancy	0.8703569865188111	0.9762454164643223	0.9652269782498221	0.9420850170119395	1.0	0.9705981237096374	0.9772089207107963	0.9687504349225753	0.9716038247999791	0.962213631482876	0.965478625235235	0.9369401476127305
ncs2d_ribo_YPD3_absolute_occupancy	0.8690408922700232	0.9675666446734092	0.9739025535271872	0.9176859727453213	0.9705981237096374	1.0	0.9675621086109555	0.9668649872859291	0.9833442362088032	0.9714195372687482	0.9722607923285588	0.9560697015825713
elp6d_ribo_YPD1_absolute_occupancy	0.8663830882603544	0.9587591992508759	0.9601776404293476	0.9217738138292066	0.9772089207107963	0.9675621086109555	1.0	0.9829315625906057	0.9787830132795108	0.9727692900247124	0.972058011137633	0.9416645149246313
elp6d_ribo_YPD2_absolute_occupancy	0.8840525647151992	0.9526044588179973	0.962268596174084	0.9221082390236535	0.9687504349225753	0.9668649872859291	0.9829315625906057	1.0	0.9760524338028504	0.9661482893259548	0.9659396318999647	0.933244398992185
elp6d_ribo_YPD3_absolute_occupancy	0.8747922270897464	0.9694320590035561	0.9713273784273039	0.913983871948815	0.9716038247999791	0.9833442362088032	0.9787830132795108	0.9760524338028504	1.0	0.972467925427911	0.9736051419755795	0.9566974171857779
ncs2d_elp6d_ribo_YPD1_absolute_occupancy	0.837221178776798	0.9537903358901575	0.9438194571903094	0.8897885857905604	0.962213631482876	0.9714195372687482	0.9727692900247124	0.9661482893259548	0.972467925427911	1.0	0.9810833087438912	0.9823771313385068
ncs2d_elp6d_ribo_YPD2_absolute_occupancy	0.8590145363560139	0.9644510032905794	0.9594226741859685	0.9035071088384186	0.965478625235235	0.9722607923285588	0.972058011137633	0.9659396318999647	0.9736051419755795	0.9810833087438912	1.0	0.9677112216672534
ncs2d_elp6d_ribo_YPD3_absolute_occupancy	0.8360854113530556	0.9470594561763453	0.924661037048979	0.8659225421532736	0.9369401476127305	0.9560697015825713	0.9416645149246313	0.933244398992185	0.9566974171857779	0.9823771313385068	0.9677112216672534	1.0
