length	frame0	rpfs0	frame1	rpfs1	frame2	rpfs2	rpfs	p_site	periodicity	ribo
25	12	0	13	0	14	0	0	13	100	first
26	12	0	13	0	14	0	0	13	100	first
27	12	0	13	0	14	0	0	13	100	first
28	12	0	13	0	14	0	0	13	100	first
29	12	0	13	0	14	0	0	13	100	first
30	12	0	13	0	14	0	0	13	100	first
31	12	0	13	0	14	0	0	13	100	first
32	12	0	13	0	14	0	0	13	100	first
33	12	0	13	0	14	0	0	13	100	first
34	12	0	13	0	14	0	0	13	100	first
35	12	0	13	0	14	0	0	13	100	first
36	12	0	13	0	14	0	0	13	100	first
37	12	0	13	0	14	0	0	13	100	first
38	12	0	13	0	14	0	0	13	100	first
39	12	0	13	0	14	0	0	13	100	first
40	12	0	13	0	14	0	0	13	100	first
41	12	0	13	0	14	0	0	13	100	first
42	12	0	13	0	14	0	0	13	100	first
43	12	0	13	0	14	0	0	13	100	first
44	12	0	13	0	14	0	0	13	100	first
45	12	0	13	0	14	0	0	13	100	first
46	12	0	13	0	14	0	0	13	100	first
47	12	0	13	0	14	0	0	13	100	first
48	12	0	13	0	14	0	0	13	100	first
49	12	0	13	0	14	0	0	13	100	first
50	12	0	13	0	14	0	0	13	100	first
51	12	0	13	0	14	0	0	13	100	first
52	12	0	13	0	14	0	0	13	100	first
53	12	0	13	0	14	0	0	13	100	first
54	12	0	13	0	14	0	0	13	100	first
55	12	0	13	0	14	0	0	13	100	first
56	12	0	13	0	14	0	0	13	100	first
57	12	0	13	0	14	0	0	13	100	first
58	12	0	13	0	14	0	0	13	100	first
59	12	0	13	0	14	0	0	13	100	first
60	12	0	13	0	14	0	0	13	100	first
61	12	0	13	0	14	0	0	13	100	first
62	12	0	13	0	14	0	0	13	100	first
63	12	0	13	0	14	0	0	13	100	first
64	12	0	13	0	14	0	0	13	100	first
65	12	0	13	0	14	0	0	13	100	first
66	12	0	13	0	14	0	0	13	100	first
67	12	0	13	0	14	0	0	13	100	first
68	12	0	13	0	14	0	0	13	100	first
69	12	0	13	0	14	0	0	13	100	first
