	wt_ribo_YPD1_absolute_occupancy	wt_ribo_YPD2_absolute_occupancy	wt_ribo_YPD3_absolute_occupancy	ncs2d_ribo_YPD1_absolute_occupancy	ncs2d_ribo_YPD2_absolute_occupancy	ncs2d_ribo_YPD3_absolute_occupancy	elp6d_ribo_YPD1_absolute_occupancy	elp6d_ribo_YPD2_absolute_occupancy	elp6d_ribo_YPD3_absolute_occupancy	ncs2d_elp6d_ribo_YPD1_absolute_occupancy	ncs2d_elp6d_ribo_YPD2_absolute_occupancy	ncs2d_elp6d_ribo_YPD3_absolute_occupancy
wt_ribo_YPD1_absolute_occupancy	1.0	0.8848215881723942	0.9291650047250644	0.8393773308865196	0.8314241174630228	0.9111471144427971	0.8957274142945041	0.9191803426271923	0.9205942053617102	0.8426988481539399	0.8478553182211765	0.797367710341591
wt_ribo_YPD2_absolute_occupancy	0.8848215881723942	1.0	0.93032193320228	0.9224186760341649	0.9494685375297208	0.9014895438030568	0.9521750631776152	0.9349186435433687	0.9221369355859242	0.9105822883544952	0.9388797038539869	0.9214041743460335
wt_ribo_YPD3_absolute_occupancy	0.9291650047250644	0.93032193320228	1.0	0.8102372044242968	0.8388211771686431	0.950116263616022	0.9543386576282612	0.955470230317436	0.9602363326482152	0.9053794997303644	0.9232233345509544	0.8927539319432849
ncs2d_ribo_YPD1_absolute_occupancy	0.8393773308865196	0.9224186760341649	0.8102372044242968	1.0	0.9722039545514793	0.8274520066165505	0.8835436081778235	0.8899939752980829	0.8494162450819158	0.8532149704572836	0.8781850278028445	0.8444295683936377
ncs2d_ribo_YPD2_absolute_occupancy	0.8314241174630228	0.9494685375297208	0.8388211771686431	0.9722039545514793	1.0	0.8529178565728421	0.9193571636589248	0.9118715755602823	0.8875392270894218	0.9083470839379622	0.9263497430322312	0.9020853861615218
ncs2d_ribo_YPD3_absolute_occupancy	0.9111471144427971	0.9014895438030568	0.950116263616022	0.8274520066165505	0.8529178565728421	1.0	0.9334814583585717	0.9316349630839398	0.9601729761814956	0.9106166409998079	0.9251020200293287	0.8936418233693123
elp6d_ribo_YPD1_absolute_occupancy	0.8957274142945041	0.9521750631776152	0.9543386576282612	0.8835436081778235	0.9193571636589248	0.9334814583585717	1.0	0.977092998862172	0.9703319818985856	0.9626412236151437	0.9661238454574169	0.9567964512671666
elp6d_ribo_YPD2_absolute_occupancy	0.9191803426271923	0.9349186435433687	0.955470230317436	0.8899939752980829	0.9118715755602823	0.9316349630839398	0.977092998862172	1.0	0.966917203091935	0.9581149230568854	0.957394971460353	0.9265963316837079
elp6d_ribo_YPD3_absolute_occupancy	0.9205942053617102	0.9221369355859242	0.9602363326482152	0.8494162450819158	0.8875392270894218	0.9601729761814956	0.9703319818985856	0.966917203091935	1.0	0.9528619058626971	0.9514654426834154	0.9210443088578699
ncs2d_elp6d_ribo_YPD1_absolute_occupancy	0.8426988481539399	0.9105822883544952	0.9053794997303644	0.8532149704572836	0.9083470839379622	0.9106166409998079	0.9626412236151437	0.9581149230568854	0.9528619058626971	1.0	0.975436269864174	0.9723005003926557
ncs2d_elp6d_ribo_YPD2_absolute_occupancy	0.8478553182211765	0.9388797038539869	0.9232233345509544	0.8781850278028445	0.9263497430322312	0.9251020200293287	0.9661238454574169	0.957394971460353	0.9514654426834154	0.975436269864174	1.0	0.9750492348887227
ncs2d_elp6d_ribo_YPD3_absolute_occupancy	0.797367710341591	0.9214041743460335	0.8927539319432849	0.8444295683936377	0.9020853861615218	0.8936418233693123	0.9567964512671666	0.9265963316837079	0.9210443088578699	0.9723005003926557	0.9750492348887227	1.0
