Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
R_GR_in_01d_1	TIS	27	12	11315	13	7449	14	8503	13	27267	41.5	first
R_GR_in_01d_1	TIS	28	12	19444	13	15811	14	15064	13	50319	38.64	first
R_GR_in_01d_1	TIS	29	11	39047	12	30724	13	27044	12	96815	40.33	first
R_GR_in_01d_1	TIS	30	12	76374	13	30563	14	63560	13	170497	44.79	first
R_GR_in_01d_1	TIS	31	12	114351	13	63257	14	38422	13	216030	52.93	first
R_GR_in_01d_1	TIS	32	13	66880	14	26201	15	35948	14	129029	51.83	first
R_GR_in_01d_1	TIS	33	14	13198	15	5130	16	10350	15	28678	46.02	first
R_GR_in_01d_1	TIS	34	14	1216	15	885	16	615	15	2716	44.77	first
R_GR_in_01d_2	TIS	27	12	13338	13	9192	14	8893	13	31423	42.45	first
R_GR_in_01d_2	TIS	28	11	21028	12	21355	13	19300	12	61683	34.09	first
R_GR_in_01d_2	TIS	29	11	51057	12	42832	13	27948	12	121837	41.91	first
R_GR_in_01d_2	TIS	30	12	94913	13	37511	14	54083	13	186507	50.89	first
R_GR_in_01d_2	TIS	31	12	76571	13	67411	14	25631	13	169613	45.14	first
R_GR_in_01d_2	TIS	32	13	34379	14	18126	15	12304	14	64809	53.05	first
R_GR_in_01d_2	TIS	33	14	4571	15	1885	16	2460	15	8916	51.27	first
R_GR_in_01d_2	TIS	34	14	350	15	325	16	232	15	907	38.59	first
R_GR_in_01d_3	TIS	27	12	13237	13	11487	14	10943	13	35667	37.11	first
R_GR_in_01d_3	TIS	28	11	31749	12	25484	13	21328	12	78561	40.41	first
R_GR_in_01d_3	TIS	29	12	63563	13	26135	14	48736	13	138434	45.92	first
R_GR_in_01d_3	TIS	30	12	87119	13	48246	14	33000	13	168365	51.74	first
R_GR_in_01d_3	TIS	31	13	49782	14	17588	15	33148	14	100518	49.53	first
R_GR_in_01d_3	TIS	32	13	10923	14	8352	15	3578	14	22853	47.8	first
R_GR_in_01d_3	TIS	33	14	1147	15	576	16	701	15	2424	47.32	first
R_GR_in_01d_3	TIS	34	17	168	18	58	19	100	18	326	51.53	first
R_GR_un_01d_1	TIS	27	12	8376	13	5030	14	5598	13	19004	44.07	first
R_GR_un_01d_1	TIS	28	12	15233	13	11766	14	10609	13	37608	40.5	first
R_GR_un_01d_1	TIS	29	11	31875	12	23067	13	20372	12	75314	42.32	first
R_GR_un_01d_1	TIS	30	12	60544	13	21882	14	47022	13	129448	46.77	first
R_GR_un_01d_1	TIS	31	12	82564	13	43069	14	25873	13	151506	54.5	first
R_GR_un_01d_1	TIS	32	13	42847	14	17540	15	23649	14	84036	50.99	first
R_GR_un_01d_1	TIS	33	14	8602	15	3068	16	6047	15	17717	48.55	first
R_GR_un_01d_1	TIS	34	14	1037	15	821	16	431	15	2289	45.3	first
R_GR_un_01d_2	TIS	27	12	7606	13	5412	14	5318	13	18336	41.48	first
R_GR_un_01d_2	TIS	28	11	13369	12	13660	13	12525	12	39554	33.8	first
R_GR_un_01d_2	TIS	29	11	33203	12	28614	13	18093	12	79910	41.55	first
R_GR_un_01d_2	TIS	30	12	67189	13	26463	14	38997	13	132649	50.65	first
R_GR_un_01d_2	TIS	31	12	57065	13	49121	14	18921	13	125107	45.61	first
R_GR_un_01d_2	TIS	32	13	28351	14	14228	15	10365	14	52944	53.55	first
R_GR_un_01d_2	TIS	33	14	3771	15	1576	16	2199	15	7546	49.97	first
R_GR_un_01d_2	TIS	34	14	295	15	263	16	223	15	781	37.77	first
R_GR_un_01d_3	TIS	27	12	12883	13	7742	14	9025	13	29650	43.45	first
R_GR_un_01d_3	TIS	28	12	21691	13	18587	14	17896	13	58174	37.29	first
R_GR_un_01d_3	TIS	29	11	47934	12	34353	13	28859	12	111146	43.13	first
R_GR_un_01d_3	TIS	30	12	87571	13	33158	14	66244	13	186973	46.84	first
R_GR_un_01d_3	TIS	31	12	92837	13	58962	14	28087	13	179886	51.61	first
R_GR_un_01d_3	TIS	32	13	36898	14	14644	15	16487	14	68029	54.24	first
R_GR_un_01d_3	TIS	33	14	4071	15	1614	16	2725	15	8410	48.41	first
R_GR_un_01d_3	TIS	34	14	252	15	269	16	185	15	706	35.69	first
