Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
m_GR_in_01d_1	20	433	564	0.0044	0.0057
m_GR_in_01d_1	21	710	973	0.0072	0.0099
m_GR_in_01d_1	22	1132	1376	0.0115	0.014
m_GR_in_01d_1	23	1363	1830	0.0139	0.0186
m_GR_in_01d_1	24	1660	2310	0.0169	0.0235
m_GR_in_01d_1	25	1882	2582	0.0192	0.0263
m_GR_in_01d_1	26	2601	3498	0.0265	0.0356
m_GR_in_01d_1	27	3308	4054	0.0337	0.0413
m_GR_in_01d_1	28	3779	4596	0.0385	0.0468
m_GR_in_01d_1	29	4470	5374	0.0455	0.0548
m_GR_in_01d_1	30	5112	6008	0.0521	0.0612
m_GR_in_01d_1	31	5965	7009	0.0608	0.0714
m_GR_in_01d_1	32	6472	7247	0.0659	0.0738
m_GR_in_01d_1	33	6702	7828	0.0683	0.0798
m_GR_in_01d_1	34	6968	7967	0.071	0.0812
m_GR_in_01d_1	35	7545	8501	0.0769	0.0866
m_GR_in_01d_1	36	8289	8988	0.0845	0.0916
m_GR_in_01d_1	37	8327	9638	0.0848	0.0982
m_GR_in_01d_1	38	9179	10011	0.0935	0.102
m_GR_in_01d_1	39	9116	9738	0.0929	0.0992
m_GR_in_01d_1	40	9690	10372	0.0987	0.1057
m_GR_in_01d_1	41	10146	10698	0.1034	0.109
m_GR_in_01d_1	42	10572	11125	0.1077	0.1133
m_GR_in_01d_1	43	10877	11530	0.1108	0.1175
m_GR_in_01d_1	44	10779	12721	0.1098	0.1296
m_GR_in_01d_1	45	11802	12606	0.1202	0.1284
m_GR_in_01d_1	46	11643	13275	0.1186	0.1353
m_GR_in_01d_1	47	11929	13390	0.1215	0.1364
m_GR_in_01d_1	48	12516	13686	0.1275	0.1394
m_GR_in_01d_1	49	13132	14444	0.1338	0.1472
m_GR_in_01d_1	50	12841	14557	0.1308	0.1483
m_GR_in_01d_1	51	14321	14636	0.1459	0.1491
m_GR_in_01d_1	52	14379	15594	0.1465	0.1589
m_GR_in_01d_1	53	14952	15687	0.1523	0.1598
m_GR_in_01d_1	54	15012	16127	0.1529	0.1643
m_GR_in_01d_1	55	15508	16987	0.158	0.1731
m_GR_in_01d_1	56	15845	17060	0.1614	0.1738
m_GR_in_01d_1	57	16020	17376	0.1632	0.177
m_GR_in_01d_1	58	16020	17881	0.1632	0.1822
m_GR_in_01d_1	59	16706	17922	0.1702	0.1826
m_GR_in_01d_1	60	16874	18756	0.1719	0.1911
m_GR_in_01d_1	61	17539	19485	0.1787	0.1985
m_GR_in_01d_1	62	17713	19584	0.1805	0.1995
m_GR_in_01d_1	63	18539	20657	0.1889	0.2105
m_GR_in_01d_1	64	18865	20689	0.1922	0.2108
m_GR_in_01d_1	65	19484	21718	0.1985	0.2213
m_GR_in_01d_1	66	19595	21858	0.1996	0.2227
m_GR_in_01d_1	67	21462	23341	0.2187	0.2378
m_GR_in_01d_1	68	21659	23718	0.2207	0.2416
m_GR_in_01d_1	69	22074	23454	0.2249	0.239
m_GR_in_01d_1	70	22507	24129	0.2293	0.2458
m_GR_in_01d_1	71	22118	24145	0.2253	0.246
m_GR_in_01d_1	72	23289	25799	0.2373	0.2628
m_GR_in_01d_1	73	24328	27156	0.2479	0.2767
m_GR_in_01d_1	74	24421	26904	0.2488	0.2741
m_GR_in_01d_1	75	24515	27539	0.2498	0.2806
m_GR_in_01d_1	76	25895	28392	0.2638	0.2893
m_GR_in_01d_1	77	26528	29528	0.2703	0.3008
m_GR_in_01d_1	78	27888	29875	0.2841	0.3044
m_GR_in_01d_1	79	27887	31588	0.2841	0.3218
m_GR_in_01d_1	80	28888	31778	0.2943	0.3238
m_GR_in_01d_1	81	29487	33293	0.3004	0.3392
m_GR_in_01d_1	82	29814	33012	0.3038	0.3363
m_GR_in_01d_1	83	31011	34400	0.316	0.3505
m_GR_in_01d_1	84	31841	34918	0.3244	0.3558
m_GR_in_01d_1	85	32405	36743	0.3302	0.3743
m_GR_in_01d_1	86	33835	36563	0.3447	0.3725
m_GR_in_01d_1	87	34373	38015	0.3502	0.3873
m_GR_in_01d_1	88	35169	38594	0.3583	0.3932
m_GR_in_01d_1	89	36610	39469	0.373	0.4021
m_GR_in_01d_1	90	36838	40415	0.3753	0.4118
m_GR_in_01d_1	91	37648	40818	0.3836	0.4159
m_GR_in_01d_1	92	38976	41932	0.3971	0.4272
m_GR_in_01d_1	93	39515	43348	0.4026	0.4416
m_GR_in_01d_1	94	40754	44208	0.4152	0.4504
m_GR_in_01d_1	95	41683	44720	0.4247	0.4556
m_GR_in_01d_1	96	42141	46227	0.4293	0.471
