Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
SRR1944912	20	533	0	0.0028	0.0
SRR1944912	21	1655	0	0.0088	0.0
SRR1944912	22	1229	2	0.0066	0.0133
SRR1944912	23	2567	0	0.0137	0.0
SRR1944912	24	1042	0	0.0056	0.0
SRR1944912	25	19136	17	0.1023	0.113
SRR1944912	26	35794	36	0.1913	0.2394
SRR1944912	27	85083	75	0.4548	0.4987
SRR1944912	28	591210	476	3.1604	3.1653
SRR1944912	29	4007791	3105	21.4243	20.6477
SRR1944912	30	7362717	6073	39.3585	40.3844
SRR1944912	31	5281539	4222	28.2333	28.0755
SRR1944912	32	1235116	965	6.6025	6.4171
SRR1944912	33	78941	65	0.422	0.4322
SRR1944912	34	2123	0	0.0113	0.0
SRR1944912	35	245	0	0.0013	0.0
SRR1944912	36	55	0	0.0003	0.0
SRR1944912	37	11	0	0.0001	0.0
SRR1944912	38	3	0	0.0	0.0
SRR1944912	39	0	2	0.0	0.0133
SRR1944912	41	3	0	0.0	0.0
SRR1944913	20	680	0	0.0031	0.0
SRR1944913	21	1790	0	0.008	0.0
SRR1944913	22	1902	1	0.0085	0.0055
SRR1944913	23	3453	1	0.0155	0.0055
SRR1944913	24	1124	1	0.0051	0.0055
SRR1944913	25	28374	26	0.1275	0.144
SRR1944913	26	63062	53	0.2834	0.2935
SRR1944913	27	150269	150	0.6752	0.8308
SRR1944913	28	1031884	808	4.6368	4.4752
SRR1944913	29	5309486	4119	23.8582	22.8136
SRR1944913	30	8149243	6704	36.6187	37.131
SRR1944913	31	5884138	4849	26.4404	26.8568
SRR1944913	32	1512219	1233	6.7952	6.8291
SRR1944913	33	114449	108	0.5143	0.5982
SRR1944913	34	1998	2	0.009	0.0111
SRR1944913	35	200	0	0.0009	0.0
SRR1944913	36	47	0	0.0002	0.0
SRR1944913	37	8	0	0.0	0.0
SRR1944913	38	5	0	0.0	0.0
SRR1944913	39	3	0	0.0	0.0
SRR1944913	40	6	0	0.0	0.0
SRR1944913	41	2	0	0.0	0.0
SRR1944913	42	4	0	0.0	0.0
SRR1944913	43	1	0	0.0	0.0
SRR1944914	20	275	0	0.0023	0.0
SRR1944914	21	1023	0	0.0086	0.0
SRR1944914	22	1081	0	0.0091	0.0
SRR1944914	23	796	0	0.0067	0.0
SRR1944914	24	457	0	0.0038	0.0
SRR1944914	25	33520	32	0.2818	0.3005
SRR1944914	26	50314	44	0.423	0.4132
SRR1944914	27	104550	112	0.8791	1.0518
SRR1944914	28	232344	259	1.9535	2.4324
SRR1944914	29	1324311	1128	11.1347	10.5935
SRR1944914	30	3253127	2907	27.3521	27.3009
SRR1944914	31	4406572	3928	37.0503	36.8896
SRR1944914	32	2123118	1948	17.8511	18.2945
SRR1944914	33	351096	281	2.952	2.639
SRR1944914	34	9903	7	0.0833	0.0657
SRR1944914	35	807	1	0.0068	0.0094
SRR1944914	36	114	0	0.001	0.0
