Sample	Database	Count	Ratio
SRR1944912	rRNA	11419996	39.51
SRR1944912	tRNA	456626	1.58
SRR1944912	ncRNA	17610	0.06
SRR1944912	mRNA	14820208	51.27
SRR1944912	Genome	1622583	5.61
SRR1944912	Others	568029	1.97
SRR1944913	rRNA	16483487	44.15
SRR1944913	tRNA	471546	1.26
SRR1944913	ncRNA	24333	0.07
SRR1944913	mRNA	17613356	47.18
SRR1944913	Genome	2033731	5.45
SRR1944913	Others	707891	1.9
SRR1944914	rRNA	6008524	34.32
SRR1944914	tRNA	219651	1.25
SRR1944914	ncRNA	17829	0.1
SRR1944914	mRNA	9278524	53.0
SRR1944914	Genome	1315591	7.52
SRR1944914	Others	665318	3.8
SRR1944915	rRNA	11000799	33.88
SRR1944915	tRNA	485702	1.5
SRR1944915	ncRNA	17788	0.05
SRR1944915	mRNA	18037121	55.55
SRR1944915	Genome	2107484	6.49
SRR1944915	Others	818922	2.52
SRR1944916	rRNA	8537799	30.91
SRR1944916	tRNA	427727	1.55
SRR1944916	ncRNA	15373	0.06
SRR1944916	mRNA	15899613	57.57
SRR1944916	Genome	2043245	7.4
SRR1944916	Others	693789	2.51
SRR1944917	rRNA	12823420	53.75
SRR1944917	tRNA	309057	1.3
SRR1944917	ncRNA	10340	0.04
SRR1944917	mRNA	8704112	36.48
SRR1944917	Genome	1342249	5.63
SRR1944917	Others	667838	2.8
SRR1944918	rRNA	4535938	20.12
SRR1944918	tRNA	658678	2.92
SRR1944918	ncRNA	19563	0.09
SRR1944918	mRNA	14207190	63.01
SRR1944918	Genome	2060807	9.14
SRR1944918	Others	1066414	4.73
SRR1944919	rRNA	5681046	28.07
SRR1944919	tRNA	1133166	5.6
SRR1944919	ncRNA	17470	0.09
SRR1944919	mRNA	10841535	53.56
SRR1944919	Genome	1625939	8.03
SRR1944919	Others	941666	4.65
SRR1944920	rRNA	3704025	21.12
SRR1944920	tRNA	1189707	6.78
SRR1944920	ncRNA	15665	0.09
SRR1944920	mRNA	10703005	61.02
SRR1944920	Genome	1369855	7.81
SRR1944920	Others	557262	3.18
SRR1944921	rRNA	9148334	31.17
SRR1944921	tRNA	627910	2.14
SRR1944921	ncRNA	21883	0.07
SRR1944921	mRNA	16219511	55.26
SRR1944921	Genome	2182079	7.43
SRR1944921	Others	1149412	3.92
SRR1944922	rRNA	7990911	30.35
SRR1944922	tRNA	919668	3.49
SRR1944922	ncRNA	23605	0.09
SRR1944922	mRNA	14223330	54.01
SRR1944922	Genome	2106010	8.0
SRR1944922	Others	1068808	4.06
SRR1944923	rRNA	10759754	29.44
SRR1944923	tRNA	1213862	3.32
SRR1944923	ncRNA	35508	0.1
SRR1944923	mRNA	20207019	55.28
SRR1944923	Genome	2851465	7.8
SRR1944923	Others	1483454	4.06
