Sample	Database	Count	Ratio
R_GR_in_10d_1	rRNA	20286936	45.98
R_GR_in_10d_1	tRNA	2687086	6.09
R_GR_in_10d_1	ncRNA	779601	1.77
R_GR_in_10d_1	mRNA	11834766	26.82
R_GR_in_10d_1	Genome	6823539	15.47
R_GR_in_10d_1	Others	1708377	3.87
R_GR_in_10d_2	rRNA	25929897	54.46
R_GR_in_10d_2	tRNA	3261250	6.85
R_GR_in_10d_2	ncRNA	572025	1.2
R_GR_in_10d_2	mRNA	6949482	14.59
R_GR_in_10d_2	Genome	9346217	19.63
R_GR_in_10d_2	Others	1558126	3.27
R_GR_in_10d_3	rRNA	56523610	56.7
R_GR_in_10d_3	tRNA	3472849	3.48
R_GR_in_10d_3	ncRNA	714237	0.72
R_GR_in_10d_3	mRNA	10279150	10.31
R_GR_in_10d_3	Genome	25697441	25.78
R_GR_in_10d_3	Others	2999287	3.01
R_GR_in_15d_1	rRNA	61466842	73.48
R_GR_in_15d_1	tRNA	845159	1.01
R_GR_in_15d_1	ncRNA	417201	0.5
R_GR_in_15d_1	mRNA	12040846	14.39
R_GR_in_15d_1	Genome	3263176	3.9
R_GR_in_15d_1	Others	5619011	6.72
R_GR_in_15d_2	rRNA	92280866	78.47
R_GR_in_15d_2	tRNA	714043	0.61
R_GR_in_15d_2	ncRNA	421780	0.36
R_GR_in_15d_2	mRNA	11990133	10.2
R_GR_in_15d_2	Genome	3067796	2.61
R_GR_in_15d_2	Others	9119656	7.76
R_GR_in_15d_3	rRNA	11481052	83.88
R_GR_in_15d_3	tRNA	18031	0.13
R_GR_in_15d_3	ncRNA	35131	0.26
R_GR_in_15d_3	mRNA	957353	6.99
R_GR_in_15d_3	Genome	349196	2.55
R_GR_in_15d_3	Others	845995	6.18
R_GR_in_01d_1	rRNA	37504174	56.34
R_GR_in_01d_1	tRNA	354059	0.53
R_GR_in_01d_1	ncRNA	588169	0.88
R_GR_in_01d_1	mRNA	21048433	31.62
R_GR_in_01d_1	Genome	4690490	7.05
R_GR_in_01d_1	Others	2379737	3.58
R_GR_in_01d_2	rRNA	29212261	51.38
R_GR_in_01d_2	tRNA	77124	0.14
R_GR_in_01d_2	ncRNA	568744	1.0
R_GR_in_01d_2	mRNA	20187428	35.5
R_GR_in_01d_2	Genome	4215285	7.41
R_GR_in_01d_2	Others	2597846	4.57
R_GR_in_01d_3	rRNA	26375302	52.56
R_GR_in_01d_3	tRNA	82778	0.16
R_GR_in_01d_3	ncRNA	498585	0.99
R_GR_in_01d_3	mRNA	17128786	34.13
R_GR_in_01d_3	Genome	4065405	8.1
R_GR_in_01d_3	Others	2031599	4.05
R_GR_in_20d_1	rRNA	12616494	37.43
R_GR_in_20d_1	tRNA	1012866	3.0
R_GR_in_20d_1	ncRNA	440978	1.31
R_GR_in_20d_1	mRNA	16336497	48.46
R_GR_in_20d_1	Genome	2235223	6.63
R_GR_in_20d_1	Others	1068153	3.17
R_GR_in_20d_2	rRNA	16213375	47.12
R_GR_in_20d_2	tRNA	346177	1.01
R_GR_in_20d_2	ncRNA	291655	0.85
R_GR_in_20d_2	mRNA	14601160	42.44
R_GR_in_20d_2	Genome	2004021	5.82
R_GR_in_20d_2	Others	949749	2.76
R_GR_in_20d_3	rRNA	28082643	62.58
R_GR_in_20d_3	tRNA	625854	1.39
R_GR_in_20d_3	ncRNA	304908	0.68
