name	SRR1944912_cds_rpm	SRR1944913_cds_rpm	SRR1944914_cds_rpm	SRR1944915_cds_rpm	SRR1944916_cds_rpm	SRR1944917_cds_rpm
AI1	1.13	1.72	1.52	0.84	0.25	1.27
AI2	0.59	0.9	0.93	0.4	0.54	0.46
AI3	0.05	0.68	0.51	0.26	0.15	0.09
AI4	0.27	1.44	1.01	0.66	0.4	0.27
AI5_ALPHA	0.43	1.58	1.01	0.88	0.5	0.18
AI5_BETA	0.38	0.0	0.17	0.0	0.15	0.0
ATP6	0.75	1.72	0.51	1.06	1.04	0.55
ATP8	0.21	0.27	0.08	0.53	0.2	0.09
BI2	0.54	0.72	0.25	0.79	0.45	0.18
BI3	0.54	1.04	0.08	0.84	0.54	0.36
BI4	0.54	1.26	0.25	1.37	0.69	0.27
CCW22	124.86	128.48	122.23	142.91	166.39	148.44
COB	0.91	1.53	0.34	1.46	0.69	0.46
COX1	0.59	1.85	1.26	1.54	0.89	0.55
COX2	1.13	1.53	0.34	2.73	1.19	0.91
COX3	0.59	1.4	0.42	1.81	0.89	1.18
CRS5	0.0	0.0	0.0	0.0	0.0	0.0
FLO8	4.88	4.65	3.7	6.66	8.12	6.28
NM_001178148.1	21.81	23.25	23.66	26.9	24.76	26.41
NM_001178149.1	8.57	9.93	11.11	10.49	8.22	10.2
NM_001178150.1	1974.17	1974.25	1625.9	1898.38	1730.16	1695.43
NM_001178151.1	7156.16	7421.38	7917.45	9124.56	8526.76	8544.92
NM_001178152.1	70.79	78.14	77.95	69.4	73.73	66.3
NM_001178153.1	17.74	17.52	19.28	23.37	23.42	23.4
NM_001178154.1	6.16	6.05	4.63	7.14	7.03	7.47
NM_001178155.2	7.39	7.72	6.73	8.51	9.21	8.2
NM_001178156.1	7.66	8.08	9.18	9.04	7.53	8.38
NM_001178157.1	773.25	751.95	716.65	701.34	733.38	804.14
NM_001178158.2	17.68	19.55	17.0	24.21	19.36	24.13
NM_001178159.1	11.15	13.14	13.05	15.34	15.0	14.02
NM_001178160.1	6.7	6.95	7.41	8.11	8.02	8.56
NM_001178161.1	173.99	187.75	173.67	218.35	207.39	193.89
NM_001178162.2	32.37	30.43	34.77	36.16	31.94	35.24
NM_001178163.1	0.11	0.05	0.08	0.13	0.0	0.0
NM_001178164.1	64.95	69.75	64.65	76.28	71.9	74.68
NM_001178165.2	8.2	8.08	7.74	8.07	8.96	12.93
NM_001178166.1	89.49	95.97	84.18	88.63	86.66	94.62
NM_001178167.1	38.37	41.94	38.64	42.9	42.39	42.44
NM_001178168.1	273.4	279.39	280.16	251.55	234.52	262.28
NM_001178169.1	11.74	12.91	11.36	14.11	13.32	13.3
NM_001178170.2	63.61	63.38	75.93	69.53	71.8	68.94
NM_001178171.2	55.03	55.21	57.24	61.55	52.94	58.38
NM_001178172.1	3.91	4.74	4.97	5.25	5.4	5.19
NM_001178173.1	2.52	2.12	1.77	2.16	1.88	2.55
NM_001178174.1	43.19	46.9	45.46	44.23	45.9	47.08
NM_001178175.1	16.77	22.98	19.95	29.01	26.59	31.24
NM_001178176.1	9.81	10.79	11.79	14.33	13.91	13.84
NM_001178177.1	10.82	10.61	9.09	10.98	10.25	12.39
NM_001178178.1	16.18	14.31	13.64	14.9	16.64	17.76
NM_001178179.1	5.41	5.6	6.15	5.69	5.45	4.01
NM_001178180.1	714.41	733.49	700.31	856.02	820.29	844.3
NM_001178181.1	117.14	118.91	116.09	177.92	185.85	182.32
NM_001178182.1	0.48	0.41	1.09	0.35	0.5	0.18
NM_001178183.1	11608.53	10961.74	10848.01	10664.6	10793.46	11166.06
NM_001178184.1	15.06	13.72	16.42	16.84	15.0	21.58
NM_001178185.1	14.9	15.89	14.73	11.77	10.65	11.75
NM_001178186.1	35.63	42.71	37.88	40.87	40.01	42.71
NM_001178187.1	103.31	99.54	110.03	118.74	117.76	133.05
NM_001178188.1	41.8	43.83	40.41	43.96	40.56	49.45
NM_001178189.1	111.57	101.48	98.58	139.77	147.47	148.62
NM_001178191.1	15.7	16.39	16.33	15.79	16.44	18.76
NM_001178192.2	9.48	11.38	8.75	10.76	10.25	9.65
NM_001178193.1	10.18	9.93	11.95	12.96	12.33	11.29
NM_001178194.1	35.58	40.04	37.97	44.62	46.7	41.07
NM_001178195.2	21.38	23.43	25.93	28.66	28.72	25.14
NM_001178196.2	62.59	64.06	64.32	66.32	64.42	69.58
NM_001178197.1	1.18	2.12	1.52	1.28	1.39	1.09
NM_001178198.1	4.07	4.47	6.4	3.92	3.81	4.37
NM_001178199.2	8.9	9.53	11.28	11.33	10.7	10.93
NM_001178200.1	14.04	12.82	14.82	14.86	14.51	16.03
NM_001178201.2	36.92	37.83	41.17	35.41	36.79	32.69
NM_001178202.2	51.76	49.21	48.4	61.29	57.94	60.56
NM_001178203.1	5.63	3.34	7.58	7.8	5.65	12.39
NM_001178204.1	3.05	3.21	4.46	3.88	3.27	2.37
NM_001178205.1	1.34	0.72	1.52	0.88	0.74	1.0
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178208.1	0.16	0.23	0.08	0.22	0.2	0.18
NM_001178209.1	76.52	76.29	71.56	78.18	71.65	70.94
NM_001178210.1	12.06	12.96	13.22	13.45	14.56	11.66
NM_001178211.1	94.42	98.37	98.75	115.44	109.78	104.27
NM_001178212.1	9.54	8.62	10.78	9.92	9.51	9.84
NM_001178213.1	0.7	0.63	0.84	0.44	0.54	1.0
NM_001178214.1	0.05	0.05	0.17	0.13	0.1	0.18
NM_001178215.2	43.83	47.9	39.57	52.25	42.83	41.71
NM_001178216.1	142.06	123.56	94.79	88.14	96.36	71.58
NM_001178217.1	10.07	11.83	10.44	13.85	13.57	14.48
NM_001178218.2	7.82	8.49	8.17	10.36	8.42	9.84
NM_001178219.1	0.0	0.05	0.0	0.09	0.05	0.09
