Sample	Frame	Count	Ratio
SRR1944924	0	3008945	37.461059829979206
SRR1944924	1	2838370	35.33741839402783
SRR1944924	2	2184879	27.20152177599296
SRR1944925	0	3204746	37.89675608802583
SRR1944925	1	2964582	35.05676922818588
SRR1944925	2	2287190	27.04647468378829
SRR1944926	0	4111290	35.955642035801105
SRR1944926	1	4100981	35.86548378528921
SRR1944926	2	3222068	28.178874178909684
SRR1944927	0	3135348	35.588016194552566
SRR1944927	1	3215475	36.497504064358694
SRR1944927	2	2459300	27.914479741088744
SRR1944928	0	3034542	36.35080575605755
SRR1944928	1	2976601	35.656729998888345
SRR1944928	2	2336793	27.992464245054105
SRR1944929	0	5269202	35.96121551756026
SRR1944929	1	5316765	36.2858231704196
SRR1944929	2	4066491	27.75296131202014
