Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
elp6d_ribo_YPD1	SSCBM	27	8	6081	9	4636	10	2103	9	12820	47.43	first
elp6d_ribo_YPD1	SSCBM	28	9	7800	10	5203	11	3121	10	16124	48.38	first
elp6d_ribo_YPD1	SSCBM	29	12	19402	13	19669	14	9938	13	49009	40.13	first
elp6d_ribo_YPD1	SSCBM	30	12	83363	13	66789	14	30897	13	181049	46.04	first
elp6d_ribo_YPD1	SSCBM	31	13	207767	14	61694	15	136427	14	405888	51.19	first
elp6d_ribo_YPD1	SSCBM	32	13	269425	14	146243	15	60482	14	476150	56.58	first
elp6d_ribo_YPD1	SSCBM	33	14	107810	15	38512	16	29525	15	175847	61.31	first
elp6d_ribo_YPD2	SSCBM	27	9	5614	10	2516	11	3695	10	11825	47.48	first
elp6d_ribo_YPD2	SSCBM	28	9	8452	10	6950	11	4009	10	19411	43.54	first
elp6d_ribo_YPD2	SSCBM	29	12	35996	13	31557	14	13765	13	81318	44.27	first
elp6d_ribo_YPD2	SSCBM	30	12	112044	13	97212	14	35161	13	244417	45.84	first
elp6d_ribo_YPD2	SSCBM	31	13	224147	14	66657	15	125407	14	416211	53.85	first
elp6d_ribo_YPD2	SSCBM	32	13	99501	14	95972	15	27282	14	222755	44.67	first
elp6d_ribo_YPD2	SSCBM	33	14	27647	15	9284	16	4104	15	41035	67.37	first
elp6d_ribo_YPD3	SSCBM	27	8	1310	9	1095	10	478	9	2883	45.44	first
elp6d_ribo_YPD3	SSCBM	28	9	2448	10	1461	11	970	10	4879	50.17	first
elp6d_ribo_YPD3	SSCBM	29	12	7988	13	8214	14	4261	13	20463	40.14	first
elp6d_ribo_YPD3	SSCBM	30	12	43418	13	32967	14	16569	13	92954	46.71	first
elp6d_ribo_YPD3	SSCBM	31	13	127767	14	37558	15	92153	14	257478	49.62	first
elp6d_ribo_YPD3	SSCBM	32	13	165340	14	93536	15	42640	14	301516	54.84	first
elp6d_ribo_YPD3	SSCBM	33	14	65642	15	23954	16	15933	15	105529	62.2	first
ncs2d_elp6d_ribo_YPD1	SSCBM	27	9	7887	10	4386	11	7113	10	19386	40.68	first
ncs2d_elp6d_ribo_YPD1	SSCBM	28	9	15774	10	12294	11	7225	10	35293	44.69	first
ncs2d_elp6d_ribo_YPD1	SSCBM	29	12	43020	13	43577	14	19942	13	106539	40.9	first
ncs2d_elp6d_ribo_YPD1	SSCBM	30	12	116416	13	105147	14	42836	13	264399	44.03	first
ncs2d_elp6d_ribo_YPD1	SSCBM	31	13	246789	14	71058	15	152878	14	470725	52.43	first
ncs2d_elp6d_ribo_YPD1	SSCBM	32	13	252865	14	128425	15	59406	14	440696	57.38	first
ncs2d_elp6d_ribo_YPD1	SSCBM	33	14	70556	15	25541	16	17247	15	113344	62.25	first
ncs2d_elp6d_ribo_YPD2	SSCBM	27	8	13351	9	11207	10	6926	9	31484	42.41	first
ncs2d_elp6d_ribo_YPD2	SSCBM	28	9	19815	10	14784	11	9539	10	44138	44.89	first
ncs2d_elp6d_ribo_YPD2	SSCBM	29	12	31988	13	37365	14	21745	13	91098	41.02	first
ncs2d_elp6d_ribo_YPD2	SSCBM	30	12	89282	13	74621	14	41632	13	205535	43.44	first
ncs2d_elp6d_ribo_YPD2	SSCBM	31	13	204828	14	61756	15	138255	14	404839	50.59	first
ncs2d_elp6d_ribo_YPD2	SSCBM	32	13	260451	14	130478	15	65832	14	456761	57.02	first
ncs2d_elp6d_ribo_YPD2	SSCBM	33	14	85461	15	33623	16	30300	15	149384	57.21	first
ncs2d_elp6d_ribo_YPD3	SSCBM	27	9	8627	10	4698	11	7838	10	21163	40.76	first
ncs2d_elp6d_ribo_YPD3	SSCBM	28	9	17935	10	18439	11	9248	10	45622	40.42	first
ncs2d_elp6d_ribo_YPD3	SSCBM	29	13	57408	14	27501	15	45424	14	130333	44.05	first
ncs2d_elp6d_ribo_YPD3	SSCBM	30	12	145584	13	137946	14	57440	13	340970	42.7	first
ncs2d_elp6d_ribo_YPD3	SSCBM	31	13	336565	14	100500	15	199422	14	636487	52.88	first
ncs2d_elp6d_ribo_YPD3	SSCBM	32	13	342979	14	181656	15	79650	14	604285	56.76	first
ncs2d_elp6d_ribo_YPD3	SSCBM	33	14	92988	15	36784	16	20297	15	150069	61.96	first
ncs2d_ribo_YPD1	SSCBM	27	9	3272	10	2880	11	1877	10	8029	40.75	first
ncs2d_ribo_YPD1	SSCBM	28	12	13414	13	6817	14	5592	13	25823	51.95	first
ncs2d_ribo_YPD1	SSCBM	29	13	161896	14	15892	15	145377	14	323165	50.1	first
ncs2d_ribo_YPD1	SSCBM	30	13	298197	14	62703	15	190734	14	551634	54.06	first
ncs2d_ribo_YPD1	SSCBM	31	13	243552	14	86279	15	78454	14	408285	59.65	first
ncs2d_ribo_YPD1	SSCBM	32	14	55530	15	9182	16	38791	15	103503	53.65	first
ncs2d_ribo_YPD1	SSCBM	33	14	6241	15	1739	16	690	15	8670	71.98	first
ncs2d_ribo_YPD2	SSCBM	27	9	3094	10	2165	11	1993	10	7252	42.66	first
ncs2d_ribo_YPD2	SSCBM	28	12	8170	13	6113	14	3925	13	18208	44.87	first
ncs2d_ribo_YPD2	SSCBM	29	12	90719	13	85930	14	14869	13	191518	47.37	first
ncs2d_ribo_YPD2	SSCBM	30	13	228540	14	50522	15	166309	14	445371	51.31	first
ncs2d_ribo_YPD2	SSCBM	31	13	291568	14	92465	15	113768	14	497801	58.57	first
ncs2d_ribo_YPD2	SSCBM	32	13	118550	14	93919	15	21757	14	234226	50.61	first
ncs2d_ribo_YPD2	SSCBM	33	14	25416	15	8198	16	3152	15	36766	69.13	first
ncs2d_ribo_YPD3	SSCBM	27	9	3709	10	1841	11	3004	10	8554	43.36	first
ncs2d_ribo_YPD3	SSCBM	28	9	6921	10	5323	11	2993	10	15237	45.42	first
ncs2d_ribo_YPD3	SSCBM	29	12	23012	13	22311	14	10085	13	55408	41.53	first
ncs2d_ribo_YPD3	SSCBM	30	12	68616	13	61899	14	23543	13	154058	44.54	first
ncs2d_ribo_YPD3	SSCBM	31	13	145328	14	40614	15	78125	14	264067	55.03	first
ncs2d_ribo_YPD3	SSCBM	32	13	145453	14	78822	15	30240	14	254515	57.15	first
ncs2d_ribo_YPD3	SSCBM	33	14	46711	15	16125	16	14276	15	77112	60.58	first
wt_ribo_YPD1	SSCBM	27	9	2834	10	2246	11	1739	10	6819	41.56	first
wt_ribo_YPD1	SSCBM	28	12	19439	13	7336	14	5138	13	31913	60.91	first
