	wt_ribo_YPD1_absolute_cst	wt_ribo_YPD2_absolute_cst	wt_ribo_YPD3_absolute_cst	ncs2d_ribo_YPD1_absolute_cst	ncs2d_ribo_YPD2_absolute_cst	ncs2d_ribo_YPD3_absolute_cst	elp6d_ribo_YPD1_absolute_cst	elp6d_ribo_YPD2_absolute_cst	elp6d_ribo_YPD3_absolute_cst	ncs2d_elp6d_ribo_YPD1_absolute_cst	ncs2d_elp6d_ribo_YPD2_absolute_cst	ncs2d_elp6d_ribo_YPD3_absolute_cst
wt_ribo_YPD1_absolute_cst	1.0	0.9946766115979999	0.9950601656865031	0.9831440968063647	0.9752447958184278	0.9844941981907745	0.8208306403218826	0.9634585156123191	0.9780659064614358	0.4274695203205656	0.9643644971262775	0.9847366747623921
wt_ribo_YPD2_absolute_cst	0.9946766115979999	1.0	0.9934441761885837	0.9841499294718136	0.9801041743475633	0.9868517195703272	0.8057549683057355	0.958228595345928	0.9806219069072487	0.4163175155280856	0.9568100725709499	0.9825416795711281
wt_ribo_YPD3_absolute_cst	0.9950601656865031	0.9934441761885837	1.0	0.9874546897137907	0.9782897487585123	0.9869053500294664	0.7994396888063419	0.9619993659602284	0.9832713158626012	0.39607171859625834	0.9642057254266513	0.9854948101685763
ncs2d_ribo_YPD1_absolute_cst	0.9831440968063647	0.9841499294718136	0.9874546897137907	1.0	0.9891317296587083	0.993559062941502	0.7778677488696526	0.9551451036266034	0.978897160100501	0.3757026797161372	0.95377316576277	0.9728964246977079
ncs2d_ribo_YPD2_absolute_cst	0.9752447958184278	0.9801041743475633	0.9782897487585123	0.9891317296587083	1.0	0.990443104797842	0.7950026319406358	0.9591496279924661	0.9786347812499626	0.4058747053641845	0.9420203713661605	0.9735771280947253
ncs2d_ribo_YPD3_absolute_cst	0.9844941981907745	0.9868517195703272	0.9869053500294664	0.993559062941502	0.990443104797842	1.0	0.795568715069941	0.9564474138042752	0.9864043183507475	0.3986380659399074	0.9491323478780945	0.9825628153948325
elp6d_ribo_YPD1_absolute_cst	0.8208306403218826	0.8057549683057355	0.7994396888063419	0.7778677488696526	0.7950026319406358	0.795568715069941	1.0	0.8731943463018174	0.8203160092188385	0.750981114492081	0.8454118122563442	0.8281151960102999
elp6d_ribo_YPD2_absolute_cst	0.9634585156123191	0.958228595345928	0.9619993659602284	0.9551451036266034	0.9591496279924661	0.9564474138042752	0.8731943463018174	1.0	0.9608409550240576	0.4254915925520751	0.9815207526091247	0.968497927540957
elp6d_ribo_YPD3_absolute_cst	0.9780659064614358	0.9806219069072487	0.9832713158626012	0.978897160100501	0.9786347812499626	0.9864043183507475	0.8203160092188385	0.9608409550240576	1.0	0.42841420040349665	0.9476445331140178	0.9863547454181075
ncs2d_elp6d_ribo_YPD1_absolute_cst	0.4274695203205656	0.4163175155280856	0.39607171859625834	0.3757026797161372	0.4058747053641845	0.3986380659399074	0.750981114492081	0.4254915925520751	0.42841420040349665	1.0	0.42396571778754577	0.4437433042982512
ncs2d_elp6d_ribo_YPD2_absolute_cst	0.9643644971262775	0.9568100725709499	0.9642057254266513	0.95377316576277	0.9420203713661605	0.9491323478780945	0.8454118122563442	0.9815207526091247	0.9476445331140178	0.42396571778754577	1.0	0.9690685165320735
ncs2d_elp6d_ribo_YPD3_absolute_cst	0.9847366747623921	0.9825416795711281	0.9854948101685763	0.9728964246977079	0.9735771280947253	0.9825628153948325	0.8281151960102999	0.968497927540957	0.9863547454181075	0.4437433042982512	0.9690685165320735	1.0
