Sample	Frame	Count	Ratio
SRR1944912	0	8002494	50.487933674483344
SRR1944912	1	4546298	28.682707152099862
SRR1944912	2	3301518	20.829359173416798
SRR1944913	0	9728234	51.99689907531341
SRR1944913	1	4911046	26.24928257443454
SRR1944913	2	4069978	21.753818350252054
SRR1944914	0	4943455	50.803788300377626
SRR1944914	1	2030948	20.872012032288215
SRR1944914	2	2756082	28.324199667334156
SRR1944915	0	9307002	48.089523069015144
SRR1944915	1	7307462	37.75784752436408
SRR1944915	2	2739028	14.152629406620779
SRR1944916	0	8544265	50.26556857689906
SRR1944916	1	4398931	25.878734782400493
SRR1944916	2	4055050	23.855696640700458
SRR1944917	0	4791381	52.505246819690875
SRR1944917	1	1986745	21.771288192858542
SRR1944917	2	2347402	25.72346498745059
