Sample	Tercile	Covered	Uncovered
m_GR_in_01d_1	10	48291	25955
m_GR_in_01d_1	20	53529	20717
m_GR_in_01d_1	30	55898	18348
m_GR_in_01d_1	40	57090	17156
m_GR_in_01d_1	50	57945	16301
m_GR_in_01d_1	60	58599	15647
m_GR_in_01d_1	70	59112	15134
m_GR_in_01d_1	80	59541	14705
m_GR_in_01d_1	90	59997	14249
m_GR_in_01d_1	0	74246	0
m_GR_in_01d_2	10	52049	22197
m_GR_in_01d_2	20	56115	18131
m_GR_in_01d_2	30	57922	16324
m_GR_in_01d_2	40	58972	15274
m_GR_in_01d_2	50	59675	14571
m_GR_in_01d_2	60	60119	14127
m_GR_in_01d_2	70	60651	13595
m_GR_in_01d_2	80	60938	13308
m_GR_in_01d_2	90	61365	12881
m_GR_in_01d_2	0	74246	0
m_GR_in_01d_3	10	51677	22569
m_GR_in_01d_3	20	55665	18581
m_GR_in_01d_3	30	57524	16722
m_GR_in_01d_3	40	58639	15607
m_GR_in_01d_3	50	59384	14862
m_GR_in_01d_3	60	59957	14289
m_GR_in_01d_3	70	60409	13837
m_GR_in_01d_3	80	60816	13430
m_GR_in_01d_3	90	61095	13151
m_GR_in_01d_3	0	74246	0
m_GR_un_01d_1	10	50570	23676
m_GR_un_01d_1	20	54895	19351
m_GR_un_01d_1	30	57062	17184
m_GR_un_01d_1	40	58259	15987
m_GR_un_01d_1	50	59108	15138
m_GR_un_01d_1	60	59644	14602
m_GR_un_01d_1	70	60106	14140
m_GR_un_01d_1	80	60451	13795
m_GR_un_01d_1	90	60811	13435
m_GR_un_01d_1	0	74246	0
m_GR_un_01d_2	10	47676	26570
m_GR_un_01d_2	20	53008	21238
m_GR_un_01d_2	30	55442	18804
m_GR_un_01d_2	40	56732	17514
m_GR_un_01d_2	50	57777	16469
m_GR_un_01d_2	60	58399	15847
m_GR_un_01d_2	70	58990	15256
m_GR_un_01d_2	80	59414	14832
m_GR_un_01d_2	90	59788	14458
m_GR_un_01d_2	0	74246	0
m_GR_un_01d_3	10	49716	24530
m_GR_un_01d_3	20	54412	19834
m_GR_un_01d_3	30	56546	17700
m_GR_un_01d_3	40	57714	16532
m_GR_un_01d_3	50	58604	15642
m_GR_un_01d_3	60	59252	14994
m_GR_un_01d_3	70	59690	14556
m_GR_un_01d_3	80	60055	14191
m_GR_un_01d_3	90	60410	13836
m_GR_un_01d_3	0	74246	0
m_GR_in_02d_1	10	38712	35534
m_GR_in_02d_1	20	46262	27984
m_GR_in_02d_1	30	49696	24550
m_GR_in_02d_1	40	51634	22612
m_GR_in_02d_1	50	53040	21206
m_GR_in_02d_1	60	54146	20100
m_GR_in_02d_1	70	54946	19300
m_GR_in_02d_1	80	55644	18602
m_GR_in_02d_1	90	56100	18146
m_GR_in_02d_1	0	74246	0
m_GR_in_02d_2	10	42629	31617
m_GR_in_02d_2	20	49281	24965
m_GR_in_02d_2	30	52202	22044
m_GR_in_02d_2	40	53880	20366
m_GR_in_02d_2	50	55126	19120
m_GR_in_02d_2	60	55896	18350
m_GR_in_02d_2	70	56742	17504
m_GR_in_02d_2	80	57191	17055
m_GR_in_02d_2	90	57785	16461
m_GR_in_02d_2	0	74246	0
m_GR_in_02d_3	10	46342	27904
m_GR_in_02d_3	20	51885	22361
m_GR_in_02d_3	30	54243	20003
m_GR_in_02d_3	40	55861	18385
m_GR_in_02d_3	50	56681	17565
m_GR_in_02d_3	60	57356	16890
m_GR_in_02d_3	70	58022	16224
m_GR_in_02d_3	80	58405	15841
m_GR_in_02d_3	90	58745	15501
m_GR_in_02d_3	0	74246	0
m_GR_un_02d_1	10	42885	31361
m_GR_un_02d_1	20	49071	25175
m_GR_un_02d_1	30	51975	22271
m_GR_un_02d_1	40	53685	20561
m_GR_un_02d_1	50	54897	19349
m_GR_un_02d_1	60	55759	18487
m_GR_un_02d_1	70	56412	17834
m_GR_un_02d_1	80	56946	17300
m_GR_un_02d_1	90	57426	16820
m_GR_un_02d_1	0	74246	0
m_GR_un_02d_2	10	46559	27687
m_GR_un_02d_2	20	51860	22386
m_GR_un_02d_2	30	54174	20072
m_GR_un_02d_2	40	55681	18565
m_GR_un_02d_2	50	56831	17415
m_GR_un_02d_2	60	57408	16838
m_GR_un_02d_2	70	57943	16303
m_GR_un_02d_2	80	58389	15857
m_GR_un_02d_2	90	58818	15428
m_GR_un_02d_2	0	74246	0
m_GR_un_02d_3	10	45231	29015
m_GR_un_02d_3	20	50857	23389
m_GR_un_02d_3	30	53319	20927
m_GR_un_02d_3	40	54787	19459
m_GR_un_02d_3	50	56001	18245
m_GR_un_02d_3	60	56683	17563
m_GR_un_02d_3	70	57360	16886
m_GR_un_02d_3	80	57662	16584
m_GR_un_02d_3	90	58127	16119
m_GR_un_02d_3	0	74246	0
m_GR_in_04d_1	10	45982	28264
m_GR_in_04d_1	20	51769	22477
m_GR_in_04d_1	30	54338	19908
m_GR_in_04d_1	40	55985	18261
m_GR_in_04d_1	50	57011	17235
m_GR_in_04d_1	60	57670	16576
m_GR_in_04d_1	70	58405	15841
m_GR_in_04d_1	80	58880	15366
m_GR_in_04d_1	90	59252	14994
m_GR_in_04d_1	0	74246	0
m_GR_in_04d_2	10	43898	30348
m_GR_in_04d_2	20	50418	23828
m_GR_in_04d_2	30	53392	20854
m_GR_in_04d_2	40	55271	18975
m_GR_in_04d_2	50	56435	17811
m_GR_in_04d_2	60	57350	16896
m_GR_in_04d_2	70	57920	16326
m_GR_in_04d_2	80	58492	15754
m_GR_in_04d_2	90	58947	15299
m_GR_in_04d_2	0	74246	0
m_GR_in_04d_3	10	49102	25144
m_GR_in_04d_3	20	54120	20126
m_GR_in_04d_3	30	56249	17997
