Sample	Database	Count	Ratio
SRR1944924	rRNA	236231	2.16
SRR1944924	tRNA	643	0.01
SRR1944924	ncRNA	28786	0.26
SRR1944924	mRNA	7169900	65.57
SRR1944924	Genome	1647067	15.06
SRR1944924	Others	1852486	16.94
SRR1944925	rRNA	231439	1.99
SRR1944925	tRNA	483	0.0
SRR1944925	ncRNA	28806	0.25
SRR1944925	mRNA	7499121	64.53
SRR1944925	Genome	1491397	12.83
SRR1944925	Others	2370741	20.4
SRR1944926	rRNA	229380	1.65
SRR1944926	tRNA	340	0.0
SRR1944926	ncRNA	39490	0.28
SRR1944926	mRNA	10244759	73.91
SRR1944926	Genome	2269593	16.37
SRR1944926	Others	1078108	7.78
SRR1944927	rRNA	249359	2.33
SRR1944927	tRNA	380	0.0
SRR1944927	ncRNA	31244	0.29
SRR1944927	mRNA	7919547	73.97
SRR1944927	Genome	1762501	16.46
SRR1944927	Others	742984	6.94
SRR1944928	rRNA	226819	2.13
SRR1944928	tRNA	426	0.0
SRR1944928	ncRNA	29057	0.27
SRR1944928	mRNA	7510362	70.68
SRR1944928	Genome	1814128	17.07
SRR1944928	Others	1045717	9.84
SRR1944929	rRNA	298661	1.68
SRR1944929	tRNA	546	0.0
SRR1944929	ncRNA	39732	0.22
SRR1944929	mRNA	13079431	73.48
SRR1944929	Genome	3085619	17.33
SRR1944929	Others	1296328	7.28
